"NR_all_97662.1","9LUV|1|D","9LUV|1|D,9LUV|1|C"
"NR_all_96683.9","5Z4J|1|B","5Z4J|1|B,6E4P|1|J,5GMF|1|E,5GMF|1|H,5GMF|1|F,5GMF|1|G,5GMG|1|D,5GMG|1|C,6E4P|1|K,8V9L|1|v,1IBL|1|Z,1IBM|1|Z,4DR6|1|V,3IE1|1|E,4DR7|1|V,3IE1|1|H,3IE1|1|F,3IE1|1|G,6YTF|1|9,9FIA|1|bG,3S4G|1|C+3S4G|1|B,2QQP|1|R,6YS5|1|9,1NB7|1|E,1NB7|1|F"
"NR_all_82900.1","8YWH|1|B+8YWH|1|C+8YWH|1|D","8YWH|1|B+8YWH|1|C+8YWH|1|D"
"NR_all_11882.2","8ZNR|1|L+8ZNR|1|I","8ZNR|1|L+8ZNR|1|I,8ZDY|1|L,8Z0K|1|L+8Z0K|1|I+8Z0K|1|J,8Z0L|1|L+8Z0L|1|I+8Z0L|1|J"
"NR_all_73673.3","8Z1G|1|T","8Z1G|1|T,8Z1F|1|T"
"NR_all_29885.3","8PVL|1|C3","8PVL|1|C3,8PV6|1|C3"
"NR_all_44586.1","8Z1P|1|B","8Z1P|1|B"
"NR_all_66856.1","8PXS|1|R","8PXS|1|R"
"NR_all_74924.29","3PEY|1|B","3PEY|1|B,3PEW|1|B,5ELX|1|B,4ALP|1|E,5SZE|1|C,2HYI|1|F,3O8C|1|C,6G2K|1|R,2HYI|1|L,6M7D|1|B,6WRE|1|D,5BTE|1|D,5BTE|1|C,3EX7|1|J,3EX7|1|F,3PF5|1|R,6I0U|1|B,8RDV|1|Y,3O8R|1|C,7EXA|1|B,5Z9W|1|R,7SOW|1|B,5ZSA|1|C,5ZSA|1|D,7F1M|1|S,7F1M|1|R,8CBW|1|1,7YPW|1|R,7EWQ|1|B,7ZNJ|1|j,7ZNJ|1|O,6CAP|1|Y,7ZNJ|1|J,7DUI|1|Y,7ZNJ|1|o,7ZNJ|1|e,7ZNJ|1|E,9FIA|1|bV,7DUL|1|Y,4NL3|1|Z,4Y91|1|O,7QDZ|1|E,8VFT|1|w,4Y91|1|N,6CAS|1|Y,6CAR|1|Y,4V6E|1|AW,1N33|1|Z,6JC3|1|N,7NSJ|1|AX,4NL3|1|R,3PF5|1|S,7OZR|1|N,1N34|1|Z,8R08|1|Z1,7YR8|1|R,3J9B|1|L,1ML5|1|C,6PPN|1|A,6PPN|1|I,7DUK|1|Y,7DUG|1|Y,7DUJ|1|Y,7DUH|1|Y"
"NR_all_03900.3","8Z4L|1|M+8Z4L|1|N","8Z4L|1|M+8Z4L|1|N,8Z9C|1|M+8Z9C|1|N,8Z99|1|M+8Z99|1|N,8Z4J|1|M+8Z4J|1|N,8Z9E|1|M+8Z9E|1|N"
"NR_all_85312.1","8Q4O|1|A","8Q4O|1|A"
"NR_all_71883.3","8Q87|1|A2","8Q87|1|A2,8Q7Z|1|A2"
"NR_all_17554.3","8Z85|1|D","8Z85|1|D,8Z90|1|D+8Z90|1|E,8Z8X|1|D+8Z8X|1|E,8Z8N|1|D,8Z9H|1|D,8Z97|1|D,8Z8J|1|D,8Z9R|1|D"
"NR_all_99699.3","8Q87|1|B5+8Q87|1|B8","8Q87|1|B5+8Q87|1|B8,8Q7Z|1|B5+8Q7Z|1|B8"
"NR_all_64446.1","4C4Q|1|N","4C4Q|1|N"
"NR_all_64462.3","8Q87|1|B7","8Q87|1|B7,8Q7Z|1|B7"
"NR_all_61738.3","8Q87|1|V","8Q87|1|V,8Q7Z|1|V"
"NR_all_23728.1","1IE1|1|A","1IE1|1|A"
"NR_all_31288.1","4C8Y|1|C","4C8Y|1|C"
"NR_all_90919.3","8Q9T|1|B","8Q9T|1|B,8QCA|1|X"
"NR_all_38361.3","8Z85|1|E","8Z85|1|E,8Z9H|1|E,8Z97|1|E,8Z8N|1|E,8Z9R|1|E,8Z8J|1|E"
"NR_all_83520.1","1IK1|1|A","1IK1|1|A"
"NR_all_65533.3","3OVB|1|C","3OVB|1|C,3OVA|1|C,3OVB|1|D,3OUY|1|C,3OVS|1|C,3OUY|1|D,3OV7|1|C,3OVS|1|D,3OV7|1|D"
"NR_all_88374.3","4C9D|1|D","4C9D|1|D,4C9D|1|C"
"NR_all_96464.1","8QBT|1|7","8QBT|1|7"
"NR_all_70420.1","1J1U|1|B","1J1U|1|B"
"NR_all_24610.5","6GAW|1|BA","6GAW|1|BA,7NSH|1|BA,6GB2|1|BA,4V19|1|A,8OIQ|1|B8,7NQL|1|BA,7NQH|1|BA,8OIN|1|B8,5AJ4|1|BA,7NSJ|1|BA,7NSI|1|BA,4CE4|1|A"
"NR_all_35102.1","8QCQ|1|8","8QCQ|1|8"
"NR_all_64594.1","8Z8U|1|A+8Z8U|1|B","8Z8U|1|A+8Z8U|1|B"
"NR_all_88987.11","7A0S|1|X","7A0S|1|X,4IOA|1|X,4IO9|1|X,5JVG|1|X,5DM6|1|X,4IOC|1|X,5JVH|1|X,7A0R|1|X,4U67|1|X,4WFN|1|X,3PIO|1|X,5DM7|1|X,3PIP|1|X,7A18|1|X,3DLL|1|X,1OND|1|0,2AAR|1|0,1Y69|1|0,3JQ4|1|A,3FWO|1|A,2ZJR|1|X,3CF5|1|X,2ZJQ|1|X,2OGM|1|0,2ZJP|1|X,2OGO|1|0,2OGN|1|0,1JZX|1|A,1NKW|1|0,1NWY|1|0,1NJP|1|0,1NWX|1|0,1J5A|1|A,1JZY|1|A,1K01|1|A,1NJM|1|0,1NJN|1|0,1NJO|1|0,1JZZ|1|A,1SM1|1|0,1Z58|1|2,1P9X|1|0,2D3O|1|0,1XBP|1|0,2O44|1|A,2O43|1|A,2O45|1|A"
"NR_all_13482.3","8QGT|1|C","8QGT|1|C,8QH3|1|C"
"NR_all_94340.7","9HL9|1|S4","9HL9|1|S4,9FXO|1|S4,8RXX|1|S4,8QIE|1|S4,8RXH|1|S4,8QHU|1|S4"
"NR_all_10107.1","8Z98|1|D","8Z98|1|D"
"NR_all_12984.1","8Z9K|1|A+8Z9K|1|B","8Z9K|1|A+8Z9K|1|B"
"NR_all_27775.1","4CIO|1|B","4CIO|1|B"
"NR_all_56652.1","8QMH|1|A+8QMH|1|B","8QMH|1|A+8QMH|1|B"
"NR_all_30440.2","8ZA4|1|F+8ZA4|1|E","8ZA4|1|F+8ZA4|1|E,8ZA4|1|B+8ZA4|1|A,8ZA4|1|D+8ZA4|1|C"
"NR_all_49040.1","8QO2|1|A","8QO2|1|A"
"NR_all_51464.1","8ZD0|1|B+8ZD0|1|C+8ZD0|1|D","8ZD0|1|B+8ZD0|1|C+8ZD0|1|D,8ZCZ|1|B+8ZCZ|1|C+8ZCZ|1|D,8ZDA|1|B+8ZDA|1|D+8ZDA|1|E+8ZDA|1|C"
"NR_all_21385.1","8QO4|5|A","8QO4|5|A"
"NR_all_33742.2","8QPB|1|z","8QPB|1|z,8R0B|1|z"
"NR_all_47147.2","8QPE|1|z2","8QPE|1|z2,8QZS|1|z2"
"NR_all_51736.2","8ZH3|1|Tb","8ZH3|1|Tb,8ZHB|1|Tb,8ZGY|1|Tb"
"NR_all_94761.2","8QPK|1|z","8QPK|1|z,8R0A|1|z"
"NR_all_53722.2","8QWF|1|C+8QWF|1|N+8QWF|1|T","8QWF|1|C+8QWF|1|N+8QWF|1|T,8QWE|1|C+8QWE|1|N+8QWE|1|T"
"NR_all_48208.1","8ZHB|1|Ta","8ZHB|1|Ta"
"NR_all_25113.2","3P4A|1|A+3P4A|1|B","3P4A|1|A+3P4A|1|B,3P4A|1|E+3P4A|1|F,3P4A|1|C+3P4A|1|D"
"NR_all_25435.2","8R0A|1|2+8R0A|1|Z+8R0A|1|6","8R0A|1|2+8R0A|1|Z+8R0A|1|6,8R08|1|2+8R08|1|6,8QXD|1|2+8QXD|1|6+8QXD|1|Z"
"NR_all_16931.1","8ZHC|1|mR","8ZHC|1|mR"
"NR_all_37498.2","8R0B|1|2+8R0B|1|Z+8R0B|1|6","8R0B|1|2+8R0B|1|Z+8R0B|1|6,8R09|1|2+8R09|1|Z+8R09|1|6,8RM5|1|2+8RM5|1|6"
"NR_all_53845.2","8ZMI|1|C","8ZMI|1|C,8ZMJ|1|C"
"NR_all_72265.1","8ZNQ|1|A","8ZNQ|1|A"
"NR_all_48143.1","3P59|1|A+3P59|1|C+3P59|1|E+3P59|1|G+3P59|1|B+3P59|1|D+3P59|1|F+3P59|1|H","3P59|1|A+3P59|1|C+3P59|1|E+3P59|1|G+3P59|1|B+3P59|1|D+3P59|1|F+3P59|1|H"
"NR_all_92078.1","4CXH|1|x","4CXH|1|x"
"NR_all_38153.1","8R3K|1|V+8R3K|1|M","8R3K|1|V+8R3K|1|M"
"NR_all_65963.1","8R55|1|V","8R55|1|V"
"NR_all_81368.1","8ZQC|1|B+8ZQC|1|C","8ZQC|1|B+8ZQC|1|C"
"NR_all_39866.1","8R6Y|1|C","8R6Y|1|C"
"NR_all_43131.1","8ZXF|1|Q","8ZXF|1|Q,8ZXF|1|R,8ZXE|1|Q,8ZXE|1|R"
"NR_all_68844.1","1ML5|1|a","1ML5|1|a"
"NR_all_32226.1","3PDM|1|R","3PDM|1|R"
"NR_all_01600.1","4DB4|1|C+4DB4|1|D","4DB4|1|C+4DB4|1|D"
"NR_all_50912.3","9AR4|1|B+9AR4|1|C+9AR4|1|D+9AR4|1|P+9AR4|1|X","9AR4|1|B+9AR4|1|C+9AR4|1|D+9AR4|1|P+9AR4|1|X,9AR7|1|B+9AR7|1|C,9AR6|1|B+9AR6|1|P+9AR6|1|D,9BS6|1|B+9BS6|1|D+9BS6|1|C+9BS6|1|P"
"NR_all_65028.4","301D|1|B+301D|1|A","301D|1|B+301D|1|A,359D|1|B+359D|1|A,1MME|1|D+1MME|1|C,299D|1|B+299D|1|A,1MME|1|B+1MME|1|A,300D|1|B+300D|1|A,1NYI|1|B+1NYI|1|A,1Q29|1|B+1Q29|1|A,488D|1|D+488D|1|B+488D|1|A+488D|1|C,379D|1|B+379D|1|A"
"NR_all_44457.1","3PHP|1|A","3PHP|1|A"
"NR_all_01492.1","4DR6|1|W","4DR6|1|W"
"NR_all_22156.1","3PKM|1|R","3PKM|1|R"
"NR_all_76824.1","4DR7|1|W","4DR7|1|W"
"NR_all_03756.1","8R8M|1|Z","8R8M|1|Z"
"NR_all_61184.3","9ASI|1|R+9ASI|1|T","9ASI|1|R+9ASI|1|T,9ASH|1|R+9ASH|1|T"
"NR_all_25419.3","6N6H|1|D","6N6H|1|D,4DW7|1|H,4DW7|1|I"
"NR_all_85129.1","8RAN|1|P","8RAN|1|P"
"NR_all_25446.3","9ASM|1|E","9ASM|1|E,9ASQ|1|E"
"NR_all_12024.1","8RBJ|1|B+8RBJ|1|C","8RBJ|1|B+8RBJ|1|C"
"NR_all_24902.1","9ASN|1|E","9ASN|1|E"
"NR_all_48272.3","4DZS|1|D","4DZS|1|D,4DZS|1|C"
"NR_all_36569.1","9ASP|1|E","9ASP|1|E"
"NR_all_27965.1","1MNB|1|B","1MNB|1|B"
"NR_all_25361.4","4E48|1|A+4E48|1|B","4E48|1|A+4E48|1|B,4JNX|1|B+4JNX|1|G,4E48|1|D"
"NR_all_38505.3","9AUS|1|R","9AUS|1|R,9AUS|1|C"
"NR_all_07523.1","1MT4|1|A","1MT4|1|A"
"NR_all_25547.1","3PU0|1|R","3PU0|1|R"
"NR_all_45897.2","9AVR|1|B","9AVR|1|B,9DTS|1|X,9DTS|1|Z"
"NR_all_10913.1","3Q0L|1|C","3Q0L|1|C"
"NR_all_54128.3","3Q0R|1|B","3Q0R|1|B,3Q0M|1|C,3Q0M|1|D"
"NR_all_53426.1","4E6B|1|A+4E6B|1|B","4E6B|1|A+4E6B|1|B"
"NR_all_16356.3","3IZZ|1|E","3IZZ|1|E,1MVR|1|B"
"NR_all_52691.1","4E78|1|P+4E78|1|T","4E78|1|P+4E78|1|T"
"NR_all_18337.5","3J0E|1|A","3J0E|1|A,3J0D|1|B,1QZC|1|B,1MVR|1|C,1T1O|1|B,2MER|1|A,2MEQ|1|A"
"NR_all_06694.3","4ED5|1|D","4ED5|1|D,4ED5|1|C"
"NR_all_59583.1","9AXV|1|S3","9AXV|1|S3"
"NR_all_25893.1","4ERD|1|C+4ERD|1|D","4ERD|1|C+4ERD|1|D"
"NR_all_68854.1","9AXV|1|Sn","9AXV|1|Sn"
"NR_all_08738.3","3Q0P|1|D","3Q0P|1|D,3Q0P|1|C"
"NR_all_97666.1","3Q0Q|1|B","3Q0Q|1|B"
"NR_all_69068.1","1MVR|1|E","1MVR|1|E"
"NR_all_86318.3","8RJB|1|q","8RJB|1|q,8RJD|1|q,8RJC|1|q"
"NR_all_44959.1","1MY9|1|A","1MY9|1|A"
"NR_all_27264.1","3Q2T|1|E","3Q2T|1|E"
"NR_all_46884.3","1MZP|1|B","1MZP|1|B,2NOQ|1|E"
"NR_all_65073.3","3Q3Z|1|V","3Q3Z|1|V,3Q3Z|1|A"
"NR_all_57545.3","8RO0|1|5","8RO0|1|5,8RO1|1|5"
"NR_all_92778.1","1N1H|1|B","1N1H|1|B"
"NR_all_10014.3","3QGC|1|B","3QGC|1|B,3QG9|1|B"
"NR_all_68958.2","8RO1|1|6+8RO1|1|2","8RO1|1|6+8RO1|1|2,8RO0|1|6+8RO0|1|2"
"NR_all_20841.1","1N33|1|Y","1N33|1|Y"
"NR_all_56560.1","3QJJ|1|Q","3QJJ|1|Q"
"NR_all_52392.1","8RO1|1|IN","8RO1|1|IN"
"NR_all_11290.1","1N38|1|C+1N38|1|B","1N38|1|C+1N38|1|B"
"NR_all_34288.3","3QJL|1|R","3QJL|1|R,3QJL|1|X"
"NR_all_75060.1","8RR3|1|T","8RR3|1|T"
"NR_all_16370.1","1N66|13|A","1N66|13|A"
"NR_all_61711.1","3QJP|1|R","3QJP|1|R"
"NR_all_52610.3","4PCJ|1|A","4PCJ|1|A,4FNJ|1|A"
"NR_all_32888.1","8RUH|1|B","8RUH|1|B"
"NR_all_94450.1","1NA2|1|A","1NA2|1|A"
"NR_all_56450.1","3QRQ|1|B","3QRQ|1|B"
"NR_all_01779.3","4FRG|1|B","4FRG|1|B,4FRG|1|X"
"NR_all_12039.1","1NBR|3|A","1NBR|3|A"
"NR_all_40400.3","3QSU|1|P","3QSU|1|P,3QSU|1|R"
"NR_all_95082.3","4FRN|1|B","4FRN|1|B,4FRN|1|A"
"NR_all_17782.4","3R1C|1|Q+3R1C|1|R","3R1C|1|Q+3R1C|1|R,3R1C|1|T+3R1C|1|U,3R1C|1|M+3R1C|1|N,3R1C|1|A+3R1C|1|B,3R1C|1|E+3R1C|1|F,3R1C|1|O+3R1C|1|P,3R1C|1|i+3R1C|1|j,3R1C|1|g+3R1C|1|h,3R1C|1|V+3R1C|1|Z,3R1C|1|a+3R1C|1|b,3R1C|1|G+3R1C|1|H,3R1C|1|S+3R1C|1|Y"
"NR_all_39301.1","4FSJ|1|R","4FSJ|1|R"
"NR_all_53161.1","1NEM|1|A","1NEM|1|A"
"NR_all_99371.3","4FTS|1|R","4FTS|1|R,4FTE|1|R"
"NR_all_05128.1","4FVU|1|B+4FVU|1|C","4FVU|1|B+4FVU|1|C"
"NR_all_28920.4","9FXO|1|S3","9FXO|1|S3,8RXX|1|S3,8RXH|1|S3"
"NR_all_12669.3","4RKV|1|B","4RKV|1|B,4RKV|1|A,4RJ1|1|B,4RJ1|1|A,4RNE|1|B,4RNE|1|C,4RNE|1|E,4RNE|1|D,4RNE|1|A,4RNE|1|G,4RNE|1|F,4RNE|1|H,1J8G|1|A,1J8G|1|B,1J8G|1|C,1J8G|1|D"
"NR_all_17405.11","7A0S|1|Y","7A0S|1|Y,4IOA|1|Y,4IO9|1|Y,5JVG|1|Y,5DM6|1|Y,4IOC|1|Y,5JVH|1|Y,7A0R|1|Y,4U67|1|Y,3PIO|1|Y,4WFN|1|Y,3PIP|1|Y,3DLL|1|Z,5DM7|1|Y,7A18|1|Y,1Y69|1|9,3JQ4|1|B,3FWO|1|B,2ZJR|1|Y,3CF5|1|Z,2ZJQ|1|Y,2ZJP|1|Z,1SM1|1|9,1NKW|1|9,1NWY|1|9,1XBP|1|9,1NWX|1|9"
"NR_all_24630.1","4G0A|1|F","4G0A|1|F"
"NR_all_47227.1","4G0A|1|H","4G0A|1|H"
"NR_all_44541.4","8S6W|1|A+8S6W|1|B+8S6W|1|C+8S6W|1|D","8S6W|1|A+8S6W|1|B+8S6W|1|C+8S6W|1|D,9H86|1|E+9H86|1|F+9H86|1|G+9H86|1|H,9H8A|1|E+9H8A|1|F+9H8A|1|G+9H8A|1|H,9H8A|1|A+9H8A|1|B+9H8A|1|C+9H8A|1|D,9H86|1|A+9H86|1|B+9H86|1|C+9H86|1|D"
"NR_all_33755.1","9B0L|1|C+9B0L|1|A+9B0L|1|B","9B0L|1|C+9B0L|1|A+9B0L|1|B"
"NR_all_02622.3","4GHA|1|I+4GHA|1|J","4GHA|1|I+4GHA|1|J,4LG2|1|I+4LG2|1|J,4LG2|1|E+4LG2|1|F"
"NR_all_22904.3","3R1C|1|K+3R1C|1|L","3R1C|1|K+3R1C|1|L,3R1C|1|I+3R1C|1|J,3R1C|1|W+3R1C|1|X,3R1C|1|c+3R1C|1|d,3R1C|1|e+3R1C|1|f,3R1C|1|C+3R1C|1|D"
"NR_all_79459.1","4GKJ|1|X+4GKJ|1|W","4GKJ|1|X+4GKJ|1|W"
"NR_all_16041.4","8S8W|1|C","8S8W|1|C,8S8X|1|C,9SHQ|1|C"
"NR_all_14109.1","9B83|1|C","9B83|1|C"
"NR_all_33620.1","4GKK|1|X","4GKK|1|X"
"NR_all_67460.1","9B89|1|C","9B89|1|C"
"NR_all_95407.4","3R1D|1|A+3R1D|1|B","3R1D|1|A+3R1D|1|B,3R1D|1|C+3R1D|1|D,3R1D|1|E"
"NR_all_24013.1","8S9T|1|F","8S9T|1|F"
"NR_all_25949.1","9BCT|1|7+9BCT|1|5+9BCT|1|6","9BCT|1|7+9BCT|1|5+9BCT|1|6"
"NR_all_69646.1","9BDP|1|MRNA","9BDP|1|MRNA"
"NR_all_16983.3","1J9H|1|A+1J9H|1|B","1J9H|1|A+1J9H|1|B,1J9H|1|C+1J9H|1|D"
"NR_all_86424.3","3R2C|1|R","3R2C|1|R,3R2C|1|S"
"NR_all_97426.2","8SA2|1|B+8SA2|1|A","8SA2|1|B+8SA2|1|A,8SA3|1|A,8SA3|1|B,8SA4|1|A+8SA4|1|B,8SA5|1|A+8SA5|1|B"
"NR_all_26846.1","1JBR|1|C+1JBR|1|F","1JBR|1|C+1JBR|1|F"
"NR_all_12608.1","3R2D|1|R+3R2D|1|S","3R2D|1|R+3R2D|1|S"
"NR_all_36514.1","4GXY|1|A","4GXY|1|A"
"NR_all_38781.1","3R9W|1|B","3R9W|1|B"
"NR_all_71379.1","3RC8|1|E","3RC8|1|E"
"NR_all_96265.1","8SCF|10|A","8SCF|10|A"
"NR_all_64571.1","1JGQ|1|1","1JGQ|1|1"
"NR_all_00804.1","8SD0|1|B","8SD0|1|B"
"NR_all_34478.1","9BIH|1|G+9BIH|1|H","9BIH|1|G+9BIH|1|H"
"NR_all_03341.1","4HOR|1|X","4HOR|1|X"
"NR_all_05245.2","8SFL|1|B+8SFL|1|C+8SFL|1|D","8SFL|1|B+8SFL|1|C+8SFL|1|D,8SFO|1|B+8SFO|1|C+8SFO|1|D,8SFQ|1|B+8SFQ|1|C+8SFQ|1|D,8SFR|1|B+8SFR|1|C+8SFR|1|D,8SFP|1|B+8SFP|1|C+8SFP|1|D,8SFN|1|B+8SFN|1|C+8SFN|1|D,8SFI|1|B+8SFI|1|C+8SFI|1|D,8SFJ|1|B+8SFJ|1|C+8SFJ|1|D"
"NR_all_96857.1","9BLM|1|A","9BLM|1|A"
"NR_all_15327.1","1JOX|1|A","1JOX|1|A"
"NR_all_43542.1","4HOT|1|X","4HOT|1|X"
"NR_all_66081.1","1JTJ|1|A","1JTJ|1|A"
"NR_all_95499.1","1JU1|10|A+1JU1|10|B","1JU1|10|A+1JU1|10|B"
"NR_all_12137.1","4I67|1|B","4I67|1|B"
"NR_all_67965.1","8SH5|1|R","8SH5|1|R"
"NR_all_90540.1","1JZC|1|A","1JZC|1|A"
"NR_all_30547.1","4II9|1|C","4II9|1|C"
"NR_all_14748.1","8SNY|1|T","8SNY|1|T"
"NR_all_77564.1","9BUP|1|S9","9BUP|1|S9"
"NR_all_61337.3","8SQJ|1|O","8SQJ|1|O,8SQK|1|O"
"NR_all_99465.1","9BUQ|1|mR","9BUQ|1|mR"
"NR_all_13408.1","1K2G|1|A","1K2G|1|A"
"NR_all_73600.1","4IJS|1|H","4IJS|1|H"
"NR_all_15134.1","8SQJ|1|T+8SQJ|1|P","8SQJ|1|T+8SQJ|1|P"
"NR_all_18222.1","1K4B|1|A","1K4B|1|A"
"NR_all_11108.3","8SX6|1|A+8SX6|1|B","8SX6|1|A+8SX6|1|B,8SY1|1|A+8SY1|1|B,8SWO|1|A+8SWO|1|B,8SY1|1|C+8SY1|1|D"
"NR_all_18478.2","9BWV|1|B","9BWV|1|B,9BWV|1|F,9BWV|1|D,9BWV|1|G"
"NR_all_22598.1","1K6G|1|A","1K6G|1|A"
"NR_all_30874.1","1K8S|1|A+1K8S|1|B","1K8S|1|A+1K8S|1|B"
"NR_all_74199.3","1NTA|1|A+1NTA|1|B","1NTA|1|A+1NTA|1|B,1NTB|1|A+1NTB|1|B"
"NR_all_77156.1","8SX5|1|A+8SX5|1|B","8SX5|1|A+8SX5|1|B"
"NR_all_09328.2","9BX4|1|E","9BX4|1|E,9BX4|1|F,9BX1|1|E,9BX1|1|F,9BWZ|1|E,9BWZ|1|F,9BX0|1|F,9BX0|1|E"
"NR_all_89049.2","1NTQ|1|A+1NTQ|1|B","1NTQ|1|A+1NTQ|1|B,1NTT|1|A+1NTT|1|B,1NTS|1|A+1NTS|1|B"
"NR_all_04359.1","3S1M|1|R","3S1M|1|R"
"NR_all_59908.1","8SXT|1|C+8SXT|1|B","8SXT|1|C+8SXT|1|B"
"NR_all_88937.1","3S2H|1|R","3S2H|1|R"
"NR_all_78706.4","1ZCI|1|A+1ZCI|1|B","1ZCI|1|A+1ZCI|1|B,1ZCI|1|C+1ZCI|1|D,2FD0|1|A+2FD0|1|B,2B8S|1|A+2B8S|1|B,2FCZ|1|A+2FCZ|1|B,2FCZ|1|C+2FCZ|1|D,2FCY|1|A+2FCY|1|B,2B8R|1|A+2B8R|1|B,1K9W|1|B+1K9W|1|A,1Y3S|1|A+1Y3S|1|B,2FCX|1|A+2FCX|1|B,1Y3O|1|A+1Y3O|1|B,1K9W|1|D+1K9W|1|C,1YXP|1|A+1YXP|1|B,1XPE|1|A+1XPE|1|B,1XPF|1|A+1XPF|1|B,1XP7|1|A+1XP7|1|B"
"NR_all_42117.1","9BXE|1|A+9BXE|1|B","9BXE|1|A+9BXE|1|B"
"NR_all_49890.3","1NUV|1|E+1NUV|1|F","1NUV|1|E+1NUV|1|F,1NUV|1|C+1NUV|1|D,1NUJ|1|C+1NUJ|1|D,1NUJ|1|E+1NUJ|1|F,429D|1|C+429D|1|D"
"NR_all_93859.3","4J39|1|B","4J39|1|B,4J5V|1|B"
"NR_all_97001.3","8T29|1|R","8T29|1|R,8T2B|1|R,8T2A|1|R,8T2O|1|R"
